"CNV","MET","MRNA"
"ERBB2","TFF1","BUB1"
"PGAP3","HIST1H1A","RGMA"
"GRB7","ADCY4","KIF18B"
"PNMT","C1orf64","FOXC1"
"TCAP","CPD","KIFC1"
"LARP4B","ALDH1A3","FAM171A1"
"GTPBP4","PA2G4P4","CDCA3"
"NEUROD2","INA","CCNE1"
"NET1","LOC100132215","BCL11A"
"MED24","IL17RA","XBP1"
"PITRM1","RLBP1","TCF19"
"CALML5","LIMD2","CENPO"
"AKR1E2","TFF3","DNALI1"
"MED1","CUBN","SLC16A6"
"IL15RA","MGST1","RRM2"
"IL2RA","IAPP","OLAH"
"ANKRD16","UCN","YBX1"
"PTCH2","TMPRSS6","KRT16"
"DMBX1","CEBPG","GREB1"
"UPF2","A2ML1","SLC44A4"
"CDC123","SOX10","C1orf64"
"KIDINS220","TANK","CCDC150"
"FBXL20","HAAO","A2ML1"
"PODN","TMC6","MICALL1"
"LRP8","LHX1","SERPINA11"
"RNF220","KRT16","LRP8"
"FAM159A","CD22","TFF3"
"DMRTA2","MAG","TFF1"
"HPDL","KCNJ16","RERG"
"CLIP4","PRAP1","CHAD"
"DNALI1","KSR1","FAM136A"
"MEAF6","NAGS","ST8SIA1"
"INPP5B","UTP18","LDHB"
"GPX7","CXCL12","EML4"
"ZCCHC11","FOXD3","MCM5"
"STAC2","NFAM1","PTX3"
"ELOVL1","TNFAIP2","CYP4Z2P"
"TIE1","TBX21","WDR62"
"DIO1","POMC","NCK2"
"TMEM59","FES","CCDC74B"
"KCNH6","C6orf15","KCNK5"
"ALK","TP73","CDC123"
"HYI","LMAN1L","INPP5J"
"RNF144A","KCNS1","CAPN13"
"UCMA","MALL","RHCG"
"ERI3","TCF20","HPDL"
"CCDC3","KRTDAP","BAIAP2L2"
"TTC22","NEUROD2","TMPRSS6"
"FAM179A","HAMP","SOX10"
"LBH","DCTN1","MAG"
"ACOT11","VEZF1","RARRES1"
"CYP4Z2P","SCNN1A","GTPBP4"
"TNNI3K","RASGRP3","RSPH1"
"C2orf16","ISLR","NKAIN1"
"CGREF1","DNALI1","SOX11"
"EMILIN1","SIK1","IL12RB2"
"FNDC4","ID4","PNMA3"
"KRTCAP3","KRT17","MFSD2B"
"SLC30A3","GPRIN2","CBX2"
"SLC4A1AP","MARCO","CHAF1B"
"UCN","ICOSLG","SH3BP1"
"TPO","C1QL1","KCNS1"
"BSND","GPLD1","PRKD3"
"CASC3","SLC16A8","NFIB"
"PLXDC1","IFNGR2","AKR1E2"
"CENPO","ACTG2","KCNG1"
"C2orf70","SOX11","COL11A2"
"ADCY3","ALG6","SCNN1A"
"EFR3B","KRCC1","GCNT2"
"POMC","IL1R2","CHCHD5"
"FAM107B","C6orf223","ID4"
"OSR1","OR2S2","GPRIN2"
"FKBP1B","FAM118A","GMNN"
"MFSD2B","PIPOX","ARHGEF4"
"DPYSL5","SLC5A1","SLC38A11"
"IL12RB2","CD9","DBNDD2"
"SOX11","IL1B","EN1"
"NEXN","HIST1H4L","FAM174B"
"CCDC30","KRT15","KRT17"
"ASAP2","ISL2","CA6"
"IAH1","PODN","MPP7"
"ITGB1BP1","CA6","ERBB2"
"DNMT3A","MLC1","GJB3"
"CLDN19","PITRM1","GEN1"
"YBX1","CUL9","RRP1"
"CACHD1","MED1","RLBP1"
"ACBD7","TOB1","MALL"
"MEIG1","GYPC","ANXA8"
"OLAH","C1orf158","STAC2"
"TCTEX1D1","FAM43B","CACNG1"
"DIRAS3","KCNJ2","TINAGL1"
"FAM110C","VIM","C10orf90"
"FAM150B","IL1A","OSR1"
"SRD5A2","SH3BGRL3","PGAP3"
"XDH","FBXO48","ST8SIA6"
"CAPN13","TBX2","DUSP9"
"PPCS","PYY","C6orf15"
"CYP4A11","IL12RB2","CYP21A2"
"SCMH1","FHAD1","NKX1-2"
"CITED4","LYPD1","CEBPG"
"SMAP2","GPRC5D","CHST15"
"DMRT2","NAGK","POLR1E"
"ICAM2","BNC1","ZDHHC18"
"MSGN1","DSCR9","RIMS4"
"ST6GALNAC3","CD7","SLC39A12"
"CYS1","ABCA8","SMC1B"
"GEN1","RARRES1","C17orf58"
"RAD51AP2","PROCA1","SBSN"
"COLEC11","SLPI","TTC22"
"NFYC","FANCG","TRIM43"
"DDX1","C1S","MARCO"
"LIMD2","LYSMD4","DUSP5"
"STRADA","TMC8","TGM1"
"KIAA0754","KCNK12","NXPH3"
"RRM2","WFIKKN2","CA9"
"PPIE","XPNPEP1","STH"
"BMP8A","COL16A1","C2orf81"
"GIPC2","CLIC6","PRSS3"
"INSL5","DKK1","SERPINA5"
"HEYL","DUSP5","MSH6"
"PECAM1","KRTAP1-1","SLPI"
"RIMS3","MESP1","LCA5L"
"C2orf48","CORO6","FFAR2"
"NOL10","EFR3B","HIST1H1A"
"NXPH3","PCBP3","CRABP1"
"ALG6","SLC44A4","VEZF1"
"MFSD2A","CAMK2N1","PIGT"
"DMRT1","CPXM2","CLIC6"
"OXCT2","DENND5B","C2orf48"
"LOC375196","EML6","TET3"
"SCN4A","LGALS2","EPN3"
"DNAJC6","GABRD","KCNK12"
"GRHL1","ADRB1","TCAP"
"PDE4B","SFRP5","ZCCHC11"
"TMC8","SERPINA12","RCAN1"
"CD79B","NEXN","GPX7"
"CSH1","LRRC16A","CCDC30"
"CSH2","HEYL","HLA-DOB"
"GH2","MTPAP","TOMM5"
"RASGRP3","ICOS","FOXN2"
"ACYP2","APOBEC3C","PODN"
"ATG4C","C2orf81","INA"
"SOCS3","CYS1","LOC400927"
"POLG2","GYS2","EMX1"
"PIP4K2B","ABCA9","XPNPEP1"
"SLC35B1","PATZ1","RETSAT"
"FAM171A1","ITPRIP","LOC100132215"
"EML4","EN1","KRT14"
"CCDC47","PTGFR","CLIP4"
"FOXD3","MAS1L","RBM24"
"CCDC85A","GRAMD2","PCSK6"
"SFPQ","TADA2A","NCCRP1"
"CACNG5","MEAF6","PNMT"
"MGC27382","FAM168B","KANK1"
"PTGFR","IGSF21","SLC25A33"
"KANK4","MFAP2","TCF20"
"FOXD4","LY75","SPRED2"
"KANK1","PCYT2","ABCG1"
"TMC6","PARVG","SLC46A1"
"DNAH17","ALDH5A1","MCTP2"
"TMEM105","PTGIS","HN1"
"MIR21","C10orf91","ZBTB42"
"PPP1R9B","PCNT","LOC146880"
"HAAO","CPNE8","FAM150B"
"EML6","GPX7","ARNTL2"
"PSMD12","JMJD6","TMEM201"
"GNA13","POLG2","CBX4"
"MYO15B","GFI1","RLN2"
"RPTOR","PIP4K2B","RIMS3"
"KCNJ4","ASPRV1","IFFO2"
"SLC16A6","TMEM201","TMEM101"
"ZNF362","CHAD","YPEL2"
"ABCA5","RRM2","RASSF4"
"CSNK1E","RBP7","SYS1"
"LOC400927","RIMS3","UPF2"
"ST8SIA6","SLC7A10","MORC2"
"CUBN","PPIE","ALDH1A3"
"VIM","IL18RAP","TNFRSF13C"
"MPDZ","FAM107B","ADCY3"
"GJA4","DNAJC6","CISD3"
"GJB3","SCGN","FANCG"
"GJB5","YPEL2","HSD17B8"
"COL8A2","AKR1E2","SLC24A2"
"IGF2BP1","PDCD1LG2","DMRT1"
"LOC146880","SLC16A3","IL1R2"
"CACNG1","RNF144A","MAMLD1"
"OXER1","PISD","C10orf82"
"RNFT1","MYO15B","CCDC88A"
"CBX2","TRNAU1AP","UBA2"
"GREB1","TRABD","IL1RL2"
"EIF4A3","TINAGL1","CCDC148"
"CBX4","TDRG1","TOB1"
"GLIS3","KRTAP3-1","LIMD2"
"C17orf58","STAC2","SLC28A1"
"TRIM65","TMEM105","PSORS1C2"
"NFIB","FBXO44","PATZ1"
"CA4","L3MBTL2","SNX33"
"CDK3","PLA2G2F","BOLA3"
"FBF1","LARP4B","RLN1"
"MTA3","SCMH1","DNMT3A"
"SLC25A10","KIDINS220","CALCOCO2"
"FAM20A","FGD4","MTPAP"
"BAIAP2L2","CSDC2","TANK"
"C17orf62","TM6SF1","LRRC27"
"SPRED2","GHITM","POMC"
"NPLOC4","HES5","ACSF2"
"FOXJ1","HLA-L","LOC375196"
"WFIKKN2","TCL1A","PLD4"
"CCDC88A","C10orf90","NOL10"
"CISD3","SBSN","TOM1L1"
"KIAA1522","CACNG1","RIPK3"
"FNDC5","EPAS1","NAGS"
"HPCA","CDK3","JMJD6"
"TMEM54","ST8SIA6","ABHD15"
"AK3","RPRML","SERPINA3"
"KCNK12","IL15RA","KRT15"
"C2orf61","CCNE1","BACE2"
"SLC39A12","RBM24","GRB7"
"ABCA8","ZNF485","DLG5"
"TOB1","C1QTNF6","SOX9"
"CCDC137","TEX19","DIO1"
"ARL16","TDRD1","ZEB1"
"KCNG3","STXBP4","CLEC7A"
"MSH6","ACOT11","FTCD"
"UHRF2","TMEM101","CSDC2"
"LUC7L3","CRIP3","TSPO"
"METTL2A","KRTAP3-3","CLCA4"
"LOC389705","ST6GAL2","PLEKHF1"
"CACNA1G","EML4","RUNX3"
"ABCC3","CBX2","MPP2"
"SLC16A8","PSTPIP1","HSPA12A"
"MCOLN2","SLCO1A2","ACTG2"
"KDM5A","BARHL2","RNF182"
"NINJ2","LOC375196","PYY"
"SPAG6","IL2RA","SLCO1A2"
"PIP4K2A","HES2","GRAMD2"
"EPN3","TEX14","GRHL1"
"ABCA6","ANXA8","STK38L"
"KCNJ16","GNE","TRIM65"
"FAM167B","HN1","VAX1"
"LCK","SAMD4B","RNF220"
"HOXB7","TMPRSS2","ACBD7"
"HOXB9","KCNK17","FLJ41941"
"HFM1","ST6GALNAC3","ISL2"
"ACSF2","FOXN2","IL2RA"
"CHAD","LCA5L","APOBEC3A"
"PRKD3","NANOS1","USP39"
"TP73","FAM65C","C6orf223"
"STXBP4","PDPN","DPYSL5"
"CALCOCO2","TNFRSF1B","KRT19"
"OTUD1","SLC39A12","LAG3"
"NEBL","ERG","SLC16A8"
"RLN1","EMX1","PSMD12"
"RLN2","CBR1","SHOC2"
"EPAS1","RECK","CHST8"
"TOM1L1","LCK","SNHG12"
"KCNJ2","RPL31","KCNJ16"
"CD274","HIST1H2BJ","NFYC"
"PDCD1LG2","FOXD4L4","LARP4B"
"CD7","COL17A1","ABCA8"
"C17orf64","CYGB","ERI3"
"HOXB13","AKAP3","C22orf23"
"HDAC1","NKAIN1","OXER1"
"MARCKSL1","ADM2","NRM"
"ZBTB8B","GRB7","FBXO10"
"ABCA9","CDCA3","FAM110C"
"SLC16A3","GALT","BRDT"
"ITFG2","SLC28A1","SLC18A2"
"NRIP2","MSGN1","GBP1"
"BCL11A","MGMT","RAD51AP2"
"B3GALT6","DMRT2","VEGFA"
"GABRD","APOBEC3A","SNAI1"
"HES5","PRKD3","TEX19"
"KLHL17","FLJ41941","MBOAT1"
"MIB2","GUCA1A","DMRTA2"
"MXRA8","LDHB","PTGFR"
"NOC2L","CDSN","CCL18"
"SCNN1D","IGF2BP1","COL16A1"
"TAS1R3","TXN2","CTSG"
"TNFRSF14","C2orf48","NUP50"
"DUS1L","GFAP","GZMB"
"NOTUM","FAM159A","FXYD1"
"TEX19","PAX7","CBR1"
"UTS2R","BMP8A","CLEC4D"
"CYGB","GIPC2","WDR20"
"BRDT","DMBT1","DIRAS3"
"HN1","OR2H2","CAMK2N1"
"STON1","FAM131C","KLHL21"
"SAMD13","FAM104A","CCDC137"
"NPB","SLC24A2","SLC2A5"
"PCYT2","SH3PXD2A","COL17A1"
"QRICH2","SLC18A2","FNDC4"
"SRCIN1","HLA-DOB","CITED4"
"FOXN2","SERPINA4","MXRA8"
"HOXB1","LY6G5C","CARD10"
"C22orf23","RLN2","CPLX3"
"MICALL1","CD79B","PSD4"
"SOX10","PRB4","C1QTNF6"
"AKAP3","TRNP1","SLC4A1AP"
"ACTG2","RASGEF1A","SRCIN1"
"TET3","TNFRSF25","THNSL1"
"TEX14","NOL12","SLC16A12"
"FBXO48","CCDC148","HCG11"
"PLEK","TACR1","DKK1"
"PROKR1","TREML2","SLC30A3"
"PRMT8","MFSD2A","TMEM105"
"LOC100132215","FAM20A","ANKRD53"
"EIF3L","HCG11","MOCS1"
"CLCA4","SARM1","CDKN2A"
"CLCA3P","CDC123","CYS1"
"ST6GALNAC1","TMEM37","CACNA1G"
"NTF3","PLXDC1","CPNE8"
"THNSL1","PAPSS2","PLEKHG6"
"INTS2","NCCRP1","XRCC3"
"JMJD6","NYNRIN","MED29"
"HES2","OR4D2","COL8A2"
"KCNA6","SLC30A3","ABCA9"
"MTVR2","TRIM65","CCDC85A"
"CCND2","MARVELD1","FER1L5"
"ST8SIA1","C10orf82","MFSD2A"
"BOLA3","FAM150B","DSCR9"
"DHX40","SLC2A5","CXCL12"
"HABP2","ETV7","TPO"
"RAB37","TNNI3K","SLC5A1"
"RNF43","KLHL17","C2orf70"
"BARHL2","GZMB","TRIM15"
"GJD3","SH3BP1","ZNF43"
"ALMS1P","TRIM63","ABCA6"
"NAT8","SLC16A12","MEX3B"
"PRSS3","KRT19","RPP25"
"PTPRD","TCAP","UCN"
"ADRB1","NOL10","GJB5"
"ANO2","PIK3CD","PLXDC1"
"OR2S2","SPAG6","MEAF6"
"CHST15","ZFP92","PDIK1L"
"PIK3CD","SERPINA5","NEURL3"
"SLC25A33","SCNN1D","DYSF"
"TMEM201","CACNG5","FAM131C"
"TDRD1","CD207","ZNF436"
"ADAMTSL1","VAX1","STXBP4"
"KRCC1","FAM83F","LRRC8C"
"SNHG12","CCDC91","PISD"
"TRNAU1AP","NRIP2","ZBTB8B"
"VEZF1","ANKRD53","RPRML"
"EPHX4","ZNRF3","NPLOC4"
"KLHL21","RAB11FIP4","AMN"
"TINAGL1","ZBTB40","KRTCAP3"
"SLC24A2","C17orf64","NRIP2"
"ACAN","MCM5","TECPR2"
"ISG20","CABP7","ACR"
"LYZL2","MAMLD1","NANOS1"
"COL16A1","HPDL","COPZ2"
"ZNF710","UNC119","KRTAP1-1"
"DENND4C","AQP7P1","LY75"
"MYO3A","XBP1","CD7"
"LRRC8C","IFFO2","AKAP3"
"TPM2","TCL1B","TAP2"
"BNC1","KIF17","CLDN19"
"TM6SF1","KIFC1","ERG"
"GYS2","MAGEA12","CLRN3"
"RLBP1","ST6GALNAC1","FOXD4L4"
"TMEM8B","FBXO10","MAK"
"GBP1","CCDC134","TACR1"
"RECK","HIST1H2AB","CALML5"
"ATE1","CA4","PRB2"
"CPXM2","DMRT1","PITRM1"
"FAM104A","COL18A1","FAM20A"
"MRPS23","AFAP1L2","SDC4"
"YPEL2","DPYSL5","NEBL"
"MCTP2","FBF1","ZNF487"
"L3MBTL2","DIO3","ADM2"
"ARHGAP29","NOTUM","ITPRIP"
"ASPRV1","TPM2","CPD"
"ZEB1","NTF3","ARMC4"
"GBP6","SPRED2","TNFRSF25"
"TBX2","DIO1","HNRNPA3P1"
"MESP1","MCOLN2","TRNP1"
"FZD8","GLP1R","CDK3"
"DMBT1","MTHFR","MPPED1"
"OR4D2","MFSD2B","ITPRIPL1"
"APOBEC3A","NRM","SUPT6H"
"APOBEC3C","CENPO","BCL11B"
"APOBEC3D","LRRC8C","KCNJ4"
"CSDC2","DOPEY2","METTL2A"
"FAM83F","HOXB9","TMEM59"
"AFAP1L2","TIE1","SERPINA4"
"IFNA10","DYSF","RASGEF1A"
"OTOP3","ANO2","SH3BGRL3"
"TTC31","CD163","SIGMAR1"
"GRAP2","BCL11B","TMC3"
"EMX1","DIRAS3","ARFGAP3"
"NOTO","ITGB3","PCBP3"
"CYP26B1","CCDC150","INPP5B"
"TAS1R1","ALDOC","SUMO3"
"TNFRSF25","KIF13A","DMBX1"
"ZBTB48","C2orf61","CTLA4"
"C2orf81","NXPH3","ZFYVE27"
"DCTN1","CISD3","EIF5B"
"DYSF","CYTIP","RAB37"
"NAGK","CIDEB","HAAO"
"FIGLA","EPN3","SLC6A8"
"PTCD3","GREB1","MTHFR"
"KIF24","PGAP3","DOPEY2"
"ST8SIA2","KRT39","FOXRED2"
"TMEM222","FOXD4","CORO6"
"UTP18","VEGFA","VIM"
"ANKRD34C","CAPN13","GDF10"
"KIAA1024","CALML5","SFPQ"
"TIAF1","TRIM43","MYOM3"
"ANKRD53","PLA2G2D","ZNF362"
"ATP6V1B1","B3GALT6","FOXJ1"
"CD207","ADCY3","FAM43B"
"CCDC134","MAL","CD207"
"TNFRSF13C","FAM110C","QRICH2"
"TBX4","TIAF1","C10orf99"
"ARFGAP3","CTLA4","LMAN1L"
"TACR1","SYCN","DHX40"
"FAM160B1","POM121L2","GABRA3"
"F3","ZNF710","PIK3CD"
"CA9","ST8SIA1","SHANK3"
"CCDC107","HHIPL1","PTCD3"
"SIT1","PTCD3","RNF43"
"BTBD16","ZDHHC18","DNAH17"
"LDHB","ANKRD23","FES"
"TMEM104","TTC23","CD79B"
"MEX3B","MAGEA6","SCN2A"
"NANOS1","FXYD7","KANK4"
"CRABP1","LIMS2","TTC23"
"CCL19","EMX2","ADCY4"
"CCL21","AEBP2","MPI"
"GALT","NOTO","WNT9B"
"IL11RA","IL1RL2","RNF144A"
"SIGMAR1","CSF2RB","CD22"
"RHCG","IL1F10","LIMS2"
"SP2","ABHD15","AK3"
"FADS6","SIVA1","ZNF30"
"H1F0","SCUBE3","NKAPL"
"FES","HOXB13","SUSD2"
"FURIN","FOXC1","MCOLN2"
"NKX1-2","CD300LG","HEYL"
"CD9","MIOX","KRT24"
"SH3BP1","EXOSC3","ADAM12"
"FAM136A","LUZP1","F3"
"LTBR","DNAJB5","PPCS"
"PLEKHG6","DKFZp566F0947","CH25H"
"SCNN1A","MME","GIPC2"
"PSTPIP1","NPLOC4","MSMB"
"SLC28A1","TCF19","GYPC"
"IFFO1","ZNF436","DENND5B"
"NFAM1","WTIP","LY6G5C"
"RCAN3","FOXI3","GNLY"
"RASGEF1A","SIT1","ACTA2"
"TCF20","ACVR1","ACYP2"
"REG1A","MTA3","INTS2"
"SLC25A17","HIST1H4F","CCDC134"
"C10orf82","RCAN3","SLC35B1"
"HSPA12A","DMRTA2","PDE4B"
"FANCG","MIR21","STON1"
"MTPAP","FOXRED2","SCMH1"
"LOC91450","VWA5B1","ABCD1"
"SH2D7","ZNF43","ITGB1BP1"
"HSPG2","FBXL20","SLC6A4"
"SOX9","SNHG12","LYPD1"
"CLDN14","SERPINA10","ELOVL1"
"SHOC2","GNA13","BNC1"
"PIPOX","NAT8","ISG20"
"KRT24","PRB2","IL15RA"
"TMC3","DMBX1","AFAP1L2"
"LYSMD4","OTOP3","PAX7"
"XPNPEP1","DDX47","MAL"
"GNLY","MAGEA3","TEX14"
"CD27","ZNF362","KSR1"
"COPZ2","RPTOR","PCNT"
"EMX2","ALPL","NAT8"
"EMX2OS","PTPN18","UBXN11"
"SLC18A2","C17orf62","ICOSLG"
"VAX1","SH2D7","PCYT2"
"DNAJB5","LDLRAP1","SAMD4B"
"GABARAPL3","LYZL2","ANGPTL7"
"CLRN3","FOXJ1","KLRD1"
"TTC38","CYB5R3","TRIM63"
"FAM174B","KLHDC7B","NOTUM"
"PROCA1","GRAMD4","MRPS23"
"ELFN2","HFM1","TRABD"
"FAM69A","RHCG","TM6SF1"
"C10orf90","OXER1","KLHDC7B"
"ARHGEF4","OSR1","BDKRB1"
"CRTC3","KRT20","PNMA6A"
"C6orf15","PECAM1","WTIP"
"CDSN","CCL4","ETV7"
"CHAF1B","COPZ2","CYP26B1"
"IAPP","SMC1B","KRTAP8-1"
"SLCO1A2","UBXN11","ICOS"
"MCM5","SSTR3","LYSMD4"
"LRRC37A","BEGAIN","MDGA1"
"PLEKHM1","WFDC12","ELFN2"
"STH","IMP4","ASAP2"
"FHAD1","PLEKHM2","IGF2BP1"
"RPRML","HLA-A","ST6GAL2"
"MPPED1","TOX2","TNFRSF8"
