,Original Network,Gene,ImportanceScore,Zscore,Pvalue,NegativeLog10Pvalue
0,hsa04151,RAF1,0.13276078336271613,-0.21056603964724643,0.583387042717335,0.23404322097851915
1,hsa04151,IRS1,0.46449435804979783,-0.6928206468517216,0.7557889433109057,0.1215994658116817
2,hsa04151,CD19,0.8679031455200844,3.7174487791431408,0.00010062238569431099,3.9973053900355926
3,hsa04151,RAC1,0.7390432964984632,0.9280580621476043,0.1766887261008941,0.7527911604444102
4,hsa04151,THEM4,0.38273342657181764,-0.07286057453077811,0.5290414662565887,0.2765102866403384
5,hsa04151,CDKN1B,0.13291864646253101,-0.6653835111907636,0.7470973857356435,0.12662278328376575
6,hsa04151,CRTC2,0.21533095153215956,-1.0119136098852461,0.8442103193407893,0.07354934348062682
7,hsa04151,TP53,0.13281707430384174,0.2006112014373461,0.420501299326632,0.37623265791716376
8,hsa04151,RBL2,0.1330346178332,0.35896525778420957,0.3598105398719276,0.44392611908614604
9,hsa04151,MYB,0.13268147031194782,-0.6628174832328871,0.746276272504207,0.12710036634464203
10,hsa04151,EIF4B,0.1326301193178668,0.7967665878668354,0.21279330165964122,0.6720420469504906
11,hsa04151,PTK2,0.37257428363443534,-0.5779514550886147,0.7183515528177928,0.14366296511216564
12,hsa04151,TSC2,0.5837435352050192,1.0953716448551376,0.136676925655294,0.8643047985735786
13,hsa04151,BRCA1,0.13303762092972024,-0.3141866225605002,0.623310348855008,0.2052956624336664
14,hsa04151,MYC,0.13297063818241678,-0.045593231499615076,0.5181827679776493,0.28551703345102947
15,hsa04151,GRB2,0.22316039587913916,-0.5213632533616205,0.6989431275438416,0.15555816101932549
16,hsa04151,PTEN,0.3701446122543368,-0.27562873218710016,0.6085833804524479,0.21567991178124696
17,hsa04151,EIF4EBP1,0.2647426251151516,0.4671432631784874,0.320198691534627,0.4945804471214421
18,hsa04151,PDPK1,0.22616284678250956,-1.1647818779457728,0.8779463519084836,0.0565320214309774
19,hsa04151,G6PC,0.1328417495838816,-0.09046328130231936,0.5360404642229223,0.2708024253717271
20,hsa04151,PIK3AP1,0.5590683578769385,1.3847282723287995,0.08306778534310161,1.0805673680359251
21,hsa04151,BCL2L1,0.13297142563932193,-1.4331023591035517,0.9240857063163814,0.03428774733605314
22,hsa04151,STK11,0.48243181443672917,2.021147607351091,0.021632243693067828,1.6648984332662637
23,hsa04151,CDC37,0.13265780747650027,-0.9892623049854887,0.8387325891131472,0.07637648206058743
24,hsa04151,SYK,1.0,4.710239776765194,1.2371276406223734e-06,5.907585489733705
25,hsa04151,NR4A1,0.13277632218624177,-0.751508355009754,0.7738266127792142,0.11135633847569931
26,hsa04151,NOS3,0.1329973628068247,-0.8340620296917959,0.7978769848150145,0.09806406220100881
27,hsa04151,DDIT4,0.1676776790004118,0.02121106993056087,0.4915386418711215,0.3084423348171311
28,hsa04151,TSC1,0.1326676433512594,-0.7297043817493188,0.7672145489106829,0.11508317010783467
29,hsa04151,MDM2,0.2647939223078291,-0.016776608510324555,0.50669258451193,0.2952554515986431
30,hsa04151,CCND1,0.13264887644352646,-0.15472784265365538,0.5614820604690497,0.2506641150281003
31,hsa04151,CASP9,0.13261655158212246,-0.5760471613865074,0.717708347668282,0.14405200245768213
32,hsa04151,MCL1,0.13273106053282474,-0.688531623470176,0.7544409684526892,0.12237473611134823
33,hsa04151,BAD,0.13289615747588618,-0.02957309723096927,0.5117962393870609,0.29090290957710285
34,hsa04151,CDKN1A,0.13261790639928225,-0.3131428895482744,0.6229139473351519,0.20557194496005246
35,hsa04151,RHEB,0.4519376338239603,2.8094021685057307,0.002481680080481203,2.605254205205051
36,hsa04151,GSK3B,0.3967253081258956,0.15952857748134175,0.43662622251953465,0.3598901853617526
37,hsa04151,BCL2L11,0.1327882025143322,0.2733155933411568,0.3923053148772483,0.40637580809216894
38,hsa04151,EIF4E,0.13289215660788364,-0.21799755397118062,0.5862844913767832,0.2318915937881972
39,hsa04151,FOXO3,0.5664344205180203,0.7093050200962232,0.23906760691246165,0.6214792657588644
40,hsa04151,BCL2,0.13287026921875025,-1.1505049731930062,0.8750320264642877,0.057976051363770854
41,hsa04670,RASSF5,0.46373267036138416,0.6009233697187342,0.27394551350354523,0.5623358077556762
42,hsa04670,RAC1,0.6506546651489693,-0.029528372469319327,0.511778404577447,0.2909180439094108
43,hsa04670,PECAM1,0.17598521843272158,0.16164377109321798,0.43579319310338616,0.36071955752419504
44,hsa04670,CXCR4,0.879367912952556,1.0537184332838745,0.14600592349109653,0.835629524439454
45,hsa04670,ITGB1,0.13046428583091077,-0.3711544041357418,0.644738734190669,0.19061623774616662
46,hsa04670,ITGA4,0.13052629182928063,-0.45734083412794513,0.6762869581361035,0.16986898765101016
47,hsa04670,ITGAL,0.13048372471621608,-1.0203133634144774,0.8462100662298462,0.07252181275316011
48,hsa04670,PTK2,0.1304942822079379,-0.5856579907674908,0.7209473150908544,0.14209647120475102
49,hsa04670,SIPA1,0.13028481328801347,-0.3823408832475271,0.6488957332175157,0.18782508151420135
50,hsa04670,RHOA,0.4081512861977355,-1.1384686710610827,0.8725375832219964,0.05921585739526557
51,hsa04670,PXN,0.13043793063259781,0.18686419346986824,0.42588355705660147,0.3707091272834652
52,hsa04670,NCF1,0.13040805466491967,-0.028819411431708554,0.5114956903871898,0.291158021089548
53,hsa04670,F11R,0.6191739442799667,0.38093427792140455,0.35162600829855284,0.45391900947197616
54,hsa04670,RAC2,0.13046300467543717,-1.0892937424648825,0.8619878143276967,0.06449887362731317
55,hsa04670,NCF4,0.13035807033595567,-0.4583631459622836,0.676654217773169,0.16963320676036825
56,hsa04670,BCAR1,0.13037786081656005,-0.43014514243815405,0.6664549680357856,0.17622919027755574
57,hsa04670,CDC42,0.13034156943876632,-1.344495945936159,0.9106059667451432,0.04066950830412949
58,hsa04670,JAM3,0.1304937090594366,-0.641477459894072,0.7393937395985287,0.13112423089210276
59,hsa04670,CTNND1,0.13044244357499896,0.5832724060526241,0.2798549676282524,0.5530669796474059
60,hsa04670,CYBA,0.1304481028144028,-0.2585905278764022,0.6020244038058201,0.22038590371992994
61,hsa04670,NCF2,0.13042148271552204,-0.3769346277812492,0.6468889065249641,0.18917029649640058
62,hsa04670,ICAM1,1.0,2.4871472368810963,0.006438604598102449,2.191208244598032
63,hsa04670,CTNNB1,0.1305406783383012,-0.3062534489784854,0.6202941601485393,0.2074023075456627
64,hsa04670,PTK2B,0.1304193008981179,-1.1682321330000096,0.8786434288434862,0.05618733460023019
65,hsa04514,CD22,0.2578871075151687,-0.4849708679070891,0.6861514947205696,0.16357998625035536
66,hsa04514,MPZ,0.257834699937088,1.8658137284592673,0.031033715463292224,1.5081662260720223
67,hsa04514,CADM1,0.2575514936074165,1.8600847855566027,0.03143676569002856,1.5025621418701567
68,hsa04514,SPN,0.2575148815269211,1.86094554396582,0.03137593362255755,1.5034033424482018
69,hsa04514,LRRC4,0.5146634045081053,1.200487144875707,0.11497510112783316,0.9393961997644437
70,hsa04514,CD226,0.25799673454476657,-0.9541587749778837,0.82999836067152,0.08092276539743933
71,hsa04514,PECAM1,0.25766208110977556,1.8619621595958322,0.031304212110487555,1.5043972224130813
72,hsa04514,CD80,0.2576978943812419,-0.19779548649261636,0.5783974611667692,0.237773622013115
73,hsa04514,TIGIT,0.2581071223448682,1.870704563848805,0.030693020945168063,1.5129603642482352
74,hsa04514,ITGB1,0.2874405690837246,-0.7807135608415161,0.7825145085101145,0.10650760150359663
75,hsa04514,ALCAM,0.25780777817088474,1.8648900393830756,0.031098409449408955,1.5072618227098016
76,hsa04514,ITGA4,0.451104081507126,-0.5983104620787515,0.7251836014579239,0.13955202514582943
77,hsa04514,ITGAL,0.4729135269826468,-1.1285467294154163,0.8704554532089739,0.06025344961334851
78,hsa04514,CD58,0.25789764418664646,1.8672178358803009,0.03093558693028143,1.5095416398455515
79,hsa04514,CNTNAP2,0.2577282966725,1.864115435965357,0.031152747649405517,1.5065036428619587
80,hsa04514,PTPRC,0.5144363620608773,1.4227478095155541,0.07740463785659192,1.1112330168987326
81,hsa04514,ICOSLG,0.4131721022261019,0.6867399510367597,0.24612330822320216,0.6088472560518063
82,hsa04514,MAG,0.2575788528166595,1.8618748462316088,0.031310366679573945,1.5043118462769491
83,hsa04514,CD28,0.514735468494078,0.48542528556584585,0.31368734980128904,0.5035029949212262
84,hsa04514,MADCAM1,0.3690097358464068,-0.29687659130335825,0.6167196358284955,0.20991222378675847
85,hsa04514,CD86,0.40142895333536455,0.5869415886474045,0.2786214685499675,0.5549854230392312
86,hsa04514,F11R,1.0,1.540537203835857,0.06171473070983381,1.2096111616972618
87,hsa04514,NTNG1,0.2579454015550226,1.867387379372566,0.03092375547790599,1.5097077694661447
88,hsa04514,OCLN,0.25760420549369883,1.8610585654763927,0.03136795332815034,1.503513816886817
89,hsa04514,SELL,0.6258361581059128,1.452194022586418,0.0732238321336817,1.1353475462689973
90,hsa04514,ESAM,0.2578585215634884,1.8662545778605577,0.03100287822238434,1.5085979855826852
91,hsa04514,CNTNAP1,0.2578997743440569,1.8672655838308356,0.030932254500137504,1.5095884252510472
92,hsa04514,NEGR1,0.25755986208295845,1.8603238467207646,0.03141986083500876,1.50279574287089
93,hsa04514,JAM3,0.6060229839419987,0.014375404197700115,0.4942652409851624,0.3060399300594049
94,hsa04514,ICAM3,0.4313372477765247,0.009498524918638663,0.49621069378837623,0.3043338805248372
95,hsa04514,NTNG2,0.2579638787686337,-0.3202759672594524,0.6256204301190909,0.20368907749438495
96,hsa04514,ICAM1,0.2577265564099726,-1.1042588770199264,0.8652595720034517,0.062853587589702
97,hsa04514,GLG1,0.2579504796981354,-0.2864044311326717,0.6127158093808676,0.21274091379519716
98,hsa04514,ITGB7,0.2581767899037538,-0.5474271965294397,0.7079573624861873,0.1499928973873076
99,hsa04514,ICAM2,0.6309615165381808,0.43416949633198226,0.3320826811049139,0.4787537732926028
100,hsa04514,SELPLG,0.5146862181135882,0.8894418289764903,0.18688283656392723,0.72843058266534
101,hsa04810,NCKAP1,0.15580874705055747,-1.0722484459142088,0.8581957720792563,0.0664136293595947
102,hsa04810,WASF2,0.15566963961052988,-0.3372270502320369,0.6320271263857511,0.1992642815485845
103,hsa04810,SRC,0.15585751506349205,0.04724046403818371,0.4811607889333491,0.31770977169738907
104,hsa04810,ENAH,0.1558129053406723,-0.11390233331716502,0.5453423920562562,0.2633307412265898
105,hsa04810,CXCR4,0.644671559580377,1.941412979799161,0.02610410258411818,1.583291232522782
106,hsa04810,PTK2,0.15569602522487702,-1.1058599671882179,0.8656064327382051,0.06267952477409852
107,hsa04810,VCL,0.22144675918892798,0.9184772247304288,0.17918453861431888,0.7466994672418454
108,hsa04810,RHOA,0.9309597598934364,0.1620026512727849,0.4356518830188458,0.3608604044741007
109,hsa04810,FN1,0.7866176529087416,2.253555385762738,0.012112076349205777,1.9167814002338424
110,hsa04810,PXN,0.1558147375154604,0.24260126790569222,0.4041571494540101,0.3934497342204669
111,hsa04810,GNG12,0.4821900319514053,1.0008978927586987,0.15843808770986018,0.800140408012679
112,hsa04810,ARHGEF6,0.7205877851054941,2.235520622978103,0.012691594626446225,1.8964838078534607
113,hsa04810,BCAR1,0.16740663745578893,-0.7158247835511853,0.7629502264050594,0.1175037937655922
114,hsa04810,WASF1,0.15579585290510486,-1.1776225071511686,0.8805264335260079,0.05525760192025211
115,hsa04810,CDC42,0.3274179971692152,-0.5734535017157566,0.71683116306443,0.1445831226920058
116,hsa04810,GSN,0.15594190423014462,-0.20083104818859476,0.5795846577186732,0.23688311932976028
117,hsa04810,F2R,0.15612415105836577,0.16244630036895505,0.4354772062912815,0.3610345718640908
118,hsa04810,CRK,0.15594456346816002,-0.5947735351926371,0.7240025699784088,0.14025989219310084
119,hsa04810,APC,1.0,4.408551608613029,5.203211216559471e-06,5.283728544212667
120,hsa04810,GIT1,0.31083039985302174,-0.08609537592919798,0.5343047002743571,0.2722110053150577
121,hsa04810,BAIAP2,0.46568842623686707,0.6544441181316651,0.2564128593042876,0.5910601984010684
122,hsa04810,ABI2,0.16527120040749396,-0.9006675486355002,0.8161174461382845,0.0882473381340172
123,hsa04810,DIAPH3,0.15589056887510883,0.17305740508579445,0.4313031527627644,0.36521736721350373
124,hsa04810,SLC9A1,0.15576887571081052,-0.7004177906809028,0.7581667854821581,0.12023524549357645
125,hsa04066,RBX1,0.15694403844480798,0.7960877258438576,0.2129905239070689,0.6716397181876351
126,hsa04066,TFRC,0.15681834414200307,-0.6747206043087696,0.7500733543169663,0.12489626218527795
127,hsa04066,IFNG,0.1570852795139218,-0.3271241250623826,0.6282129972103723,0.20189308264882705
128,hsa04066,VEGFA,0.15698683403132135,-0.3614708532758808,0.6411262550783586,0.19305643774397596
129,hsa04066,FLT1,0.15705998200107146,-0.39805423611785534,0.6547048963985725,0.18395441106986302
130,hsa04066,VHL,0.15695902934908118,-0.4965897041622824,0.6902607924634312,0.16098679429294135
131,hsa04066,STAT3,0.15691786081706796,0.3343579481340343,0.3690547338329736,0.4329092196434885
132,hsa04066,EP300,0.32505630636336086,-1.3377064800319074,0.9095039311087354,0.04119541946455267
133,hsa04066,SLC2A1,0.15688186296003193,-0.2930562775396896,0.6152604321383724,0.21094101381903294
134,hsa04066,GAPDH,0.15672286904715552,-0.2858778300212416,0.6125141527426015,0.2128838720458706
135,hsa04066,PDK1,0.15695385288387448,-0.4590869617151035,0.6769141403972391,0.1694664136138507
136,hsa04066,HIF1A,0.4557919188371946,-3.201426375751568,0.9993162549174635,0.00029704828060131986
137,hsa04066,EIF4EBP1,0.3131164535307299,1.425740195291476,0.07697167470336375,1.1136690642198186
138,hsa04066,TF,0.1569052960189711,-0.7404541730391827,0.7704877709111331,0.11323424996043711
139,hsa04066,ARNT,1.0,1.2695383197931411,0.10212456620011673,0.9908697752310893
140,hsa04066,NOS3,0.15692222665013938,-0.463362431916333,0.6784476988815235,0.1684836262100463
141,hsa04066,TLR4,0.6088443208487783,1.2990575101273636,0.0969620967105308,1.0133980018827364
142,hsa04066,PFKFB3,0.1569090886193183,-0.2056170495650044,0.5814549707660311,0.23548391241454678
143,hsa04066,EIF4E,0.15683257073597726,-0.19229562109704243,0.5762446758739227,0.23939307418235284
144,hsa04066,BCL2,0.15680554773472472,-0.6014869672644819,0.7262421551743516,0.13891854580008642
